,sub,onset,offset,cat,tier
0,4,8.43,10.5,V,VCV
1,4,35.83,38.7,V,VCV
2,4,84.43,85.27,V,VCV
3,4,160.11,162.74,V,VCV
4,4,163.76,164.38,V,VCV
5,4,179.95,180.71,V,VCV
6,4,207.4,208.37,V,VCV
7,4,253.96,255.81,V,VCV
8,4,256.87,257.19,V,VCV
9,4,270.72,271.09,V,VCV
10,4,284.61,284.93,V,VCV
11,4,310.48,310.67,V,VCV
12,4,311.26,312.58,V,VCV
13,4,370.84,373.56,V,VCV
14,4,383.4,384,V,VCV
15,4,384.76,385.41,V,VCV
16,4,386.16,387.92,V,VCV
17,4,463.25,463.55,V,VCV
18,4,465.28,465.48,V,VCV
19,4,474.55,475.34,V,VCV
20,4,492.06,492.35,V,VCV
21,4,501.25,501.51,V,VCV
22,4,517.27,517.6,V,VCV
23,4,565.5,568.12,V,VCV
24,4,568.35,571.29,V,VCV
25,4,575.14,576.72,V,VCV
26,4,577.39,578.74,V,VCV
27,4,660.02,661.36,V,VCV
28,4,686.15,686.41,V,VCV
29,4,689.04,689.46,V,VCV
30,4,699.3,699.57,V,VCV
31,4,841.68,841.97,V,VCV
32,4,869.53,870.38,V,VCV
33,4,879.69,880.02,V,VCV
0,6,308.82,308.99,V,VCV
1,6,542.6,543.33,V,VCV
2,6,554.96,555.21,V,VCV
3,6,555.98,556.21,V,VCV
4,6,574.78,575.02,V,VCV
5,6,590.3,590.61,V,VCV
6,6,714.83,715.32,V,VCV
7,6,854.19,854.44,V,VCV
8,6,857.075,857.725,V,VCV
9,6,917.54,917.9,V,VCV
10,6,933.985,934.225,V,VCV
11,6,935.145,935.305,V,VCV
0,10,139.493,139.873,V,VCV
1,10,298.922,299.172,V,VCV
2,10,418.357,418.637,V,VCV
3,10,446.122,446.382,V,VCV
4,10,617.426,617.816,V,VCV
5,10,626.492,626.892,V,VCV
6,10,643.426,644.706,V,VCV
7,10,646.872,647.052,V,VCV
8,10,648.157,648.377,V,VCV
9,10,649.995,650.155,V,VCV
10,10,656.826,657.856,V,VCV
11,10,658.402,659.242,V,VCV
12,10,684.239,685.789,V,VCV
13,10,686.399,687.109,V,VCV
14,10,694.657,695.037,V,VCV
15,10,729.383,729.793,V,VCV
16,10,768.501,768.691,V,VCV
17,10,776.196,776.496,V,VCV
18,10,802.202,803.442,V,VCV
19,10,819.05,819.7,V,VCV
20,10,822.263,823.103,V,VCV
21,10,823.576,823.946,V,VCV
22,10,825.359,825.719,V,VCV
23,10,829.888,831.098,V,VCV
24,10,833.75,834.52,V,VCV
25,10,834.96,835.94,V,VCV
26,10,837.033,838.603,V,VCV
27,10,845.221,846.051,V,VCV
28,10,847.047,847.217,V,VCV
29,10,856.212,857.072,V,VCV
30,10,857.627,858.297,V,VCV
31,10,864.947,865.787,V,VCV
32,10,870.132,870.522,V,VCV
33,10,888.881,890.061,V,VCV
34,10,899.655,900.245,V,VCV
0,11,31.23,31.96,V,VCV
1,11,60.01,60.46,V,VCV
2,11,64.72,64.99,V,VCV
3,11,79.71,80.03,V,VCV
4,11,84.585,84.885,V,VCV
5,11,138.36,140.16,V,VCV
6,11,295.42,296.02,V,VCV
7,11,296.33,299.37,V,VCV
8,11,299.65,301.1,V,VCV
9,11,365.51,366.21,V,VCV
10,11,409.8,410.33,V,VCV
11,11,494.82,495.11,V,VCV
12,11,496.52,500.67,V,VCV
13,11,635.95,636.19,V,VCV
14,11,716.56,716.92,V,VCV
15,11,776.78,777.63,V,VCV
16,11,851.33,855.7,V,VCV
17,11,868.56,868.88,V,VCV
18,11,870.615,873.915,VCV,VCV
19,11,893.12,893.78,V,VCV
20,11,899.54,902.86,V,VCV
21,11,906.68,907.29,V,VCV
22,11,917.42,917.92,V,VCV
23,11,923.99,925,V,VCV
24,11,926.25,926.93,V,VCV
25,11,938.6,938.92,V,VCV
0,27,37.13,37.27,V,VCV
1,27,38.13,38.32,V,VCV
2,27,60.64,62.08,V,VCV
3,27,68.8,69.77,V,VCV
4,27,114.022,114.422,V,VCV
5,27,116.85,117.19,V,VCV
6,27,123.66,124.09,V,VCV
7,27,126.39,126.77,V,VCV
8,27,127.4,127.68,V,VCV
9,27,130.17,130.52,V,VCV
10,27,192.59,193.15,V,VCV
11,27,307.13,307.5,V,VCV
12,27,350.142,350.612,V,VCV
13,27,356.41,356.86,V,VCV
14,27,361.569,362.179,V,VCV
15,27,370.38,370.56,V,VCV
16,27,375.05,375.33,V,VCV
17,27,376.105,377.795,V,VCV
18,27,382.941,383.161,V,VCV
19,27,383.785,383.9,V,VCV
20,27,389.45,390.22,V,VCV
21,27,423.225,423.665,V,VCV
22,27,428,428.19,V,VCV
23,27,442.403,442.673,V,VCV
24,27,448.474,448.684,V,VCV
25,27,462.79,463.83,V,VCV
26,27,465.448,465.638,V,VCV
27,27,581.099,581.359,V,VCV
28,27,591.29,591.63,V,VCV
29,27,626.55,627.13,V,VCV
30,27,627.71,627.89,V,VCV
31,27,628.7,629.91,V,VCV
32,27,653.62,654.19,V,VCV
33,27,660.25,660.44,V,VCV
34,27,692.67,693.24,V,VCV
35,27,695.25,695.61,V,VCV
36,27,701.53,701.89,V,VCV
37,27,703.85,704.54,V,VCV
38,27,774.92,775.45,V,VCV
39,27,802.17,802.67,V,VCV
40,27,820.09,820.34,V,VCV
41,27,822.56,822.9,V,VCV
42,27,827.06,827.55,V,VCV
43,27,838.38,838.64,V,VCV
44,27,843.03,843.51,V,VCV
45,27,866.22,866.36,V,VCV
46,27,879.75,880.33,V,VCV
47,27,886.61,886.83,V,VCV
48,27,904.21,904.5,V,VCV
0,28,424.781,425.017,V,VCV
1,28,479,479.63,V,VCV
2,28,664.63,664.77,V,VCV
3,28,668.572,669.408,V,VCV
4,28,720.43,720.67,V,VCV
5,28,721.86,722.04,V,VCV
6,28,731.16,731.29,V,VCV
7,28,781.718,782.236,V,VCV
0,43,119.898,120.718,V,VCV
1,43,121.073,121.353,V,VCV
2,43,138.128,138.658,V,VCV
3,43,162.74,163.71,V,VCV
4,43,164.39,164.67,V,VCV
5,43,171.05,171.28,V,VCV
6,43,171.85,172.14,V,VCV
7,43,191.993,192.293,V,VCV
8,43,196.238,196.488,V,VCV
9,43,198.371,198.671,V,VCV
10,43,320.555,320.775,V,VCV
11,43,390.758,390.988,V,VCV
12,43,441.993,442.203,V,VCV
13,43,535.82,536.05,V,VCV
14,43,537.476,537.896,V,VCV
15,43,543.755,544.215,V,VCV
16,43,552.435,554.635,V,VCV
17,43,560.355,563.22,V,VCV
18,43,575.536,575.866,V,VCV
19,43,578.583,578.833,V,VCV
20,43,601.783,603.393,V,VCV
21,43,626,626.44,V,VCV
22,43,645.74,646.28,V,VCV
23,43,650.396,650.726,V,VCV
24,43,683.086,683.456,V,VCV
25,43,858.38,858.52,V,VCV
26,43,866.851,867.051,V,VCV
27,43,880.155,880.285,V,VCV
28,43,891.351,892.841,V,VCV
0,47,4.77,5.49,V,VCV
1,47,198.1,199.37,VC,VCV
2,47,207.395,209.935,CVCV,VCV
3,47,321.79,322.07,V,VCV
4,47,331.64,331.91,V,VCV
5,47,501.83,502.11,V,VCV
6,47,509.96,510.4,V,VCV
7,47,513.53,515.46,V,VCV
8,47,763.72,764.14,V,VCV
9,47,796.29,796.51,V,VCV
10,47,854.44,854.57,V,VCV
0,48,132.762,132.912,V,VCV
1,48,274.287,274.537,V,VCV
2,48,752.883,753.483,V,VCV
3,48,807.26,807.71,V,VCV
4,48,820.869,821.419,V,VCV
5,48,843.78,844.04,V,VCV
0,53,10.71,11.71,VCV,VCV
